Dataset,Dataset Type,Framework,Trial,F1 Score,Training Time
23,multiclass,fedot,16,0.5429537466920501,299.86974112223834
23,multiclass,fedot,17,0.5749721353246989,691.026902907528
23,multiclass,fedot,18,0.5852837829187848,471.7983378507197
23,multiclass,fedot,19,0.5329124120862532,348.07376321032643
23,multiclass,fedot,20,0.5342832453091001,299.96737675834447
23,multiclass,flaml,1,0.5596021721581002,300.03063677996397
23,multiclass,flaml,2,0.5303541763000674,300.0140514659579
23,multiclass,flaml,3,0.5177618327690056,299.98126324202167
23,multiclass,flaml,4,0.5827471431858271,300.01291682897136
23,multiclass,flaml,5,0.5702416778328482,299.9795261429972
23,multiclass,flaml,6,0.5743492262801104,300.03010328498203
23,multiclass,flaml,7,0.5992447779813269,300.0087694969843
23,multiclass,flaml,8,0.5577450271760906,300.00808658398455
23,multiclass,flaml,9,0.5415911271458459,300.063324732997
23,multiclass,flaml,10,0.5259461428007584,299.99708534701495
23,multiclass,flaml,11,0.5372317659624963,299.96322424395476
23,multiclass,flaml,12,0.6042849750633887,299.9916775689926
23,multiclass,flaml,13,0.505142498430634,300.0630675519933
23,multiclass,flaml,14,0.5274904384927883,300.1201814679662
23,multiclass,flaml,15,0.5555065147054117,300.01148181798635
23,multiclass,flaml,16,0.5408179638603724,299.978673428006
23,multiclass,flaml,17,0.5452959593226631,300.0100681349868
23,multiclass,flaml,18,0.5866173386096376,299.9874041189905
23,multiclass,flaml,19,0.5166972410270008,299.99320672400063
23,multiclass,flaml,20,0.5543326105742786,300.01567549898755
23,multiclass,gama,1,0.5749571788375301,269.1999001209624
23,multiclass,gama,2,0.5539460274065237,269.3562802680535
23,multiclass,gama,3,0.5384822964306583,269.22248937992845
23,multiclass,gama,4,0.6178729839018253,269.27710538893007
23,multiclass,gama,5,0.5871753233417822,269.1856595359277
23,multiclass,gama,6,0.5991750836906372,269.40205383009743
23,multiclass,gama,7,0.6037330532728049,269.2105431340169
23,multiclass,gama,8,0.5202654004591051,269.27436477609444
23,multiclass,gama,9,0.5857703716008124,270.203954054974
23,multiclass,gama,10,0.5109503303932177,269.3464831899619
23,multiclass,gama,11,0.6139658911307603,269.430153352092
23,multiclass,gama,12,0.5326418808091853,269.24405708699487
23,multiclass,gama,13,0.5614918452190598,269.21164346300066
23,multiclass,gama,14,0.5510011298179152,269.25027485599276
23,multiclass,gama,15,0.56906578282197,270.20460597390775
23,multiclass,gama,16,0.5762062415835062,269.24928074900527
23,multiclass,gama,17,0.5758037098760054,269.2572743529454
23,multiclass,gama,18,0.541412394823684,269.2522591910092
23,multiclass,gama,19,0.5583126905237266,269.4441878549999
23,multiclass,gama,20,0.5848044747901447,270.1633440599999
23,multiclass,h2o,1,0.2522195318805488,305.5939792320132
23,multiclass,h2o,2,0.4736220807156255,306.1059578859713
23,multiclass,h2o,3,0.2771161421422278,300.90483966004103
23,multiclass,h2o,4,0.36985380077966984,306.10913214698667
